Date_hour,casual_riders_count,member_riders_count,casual_rider_duration,member_rider_duration,count,travel_time,day_of_week,IsWeekend,IsHoliday,Temp(c),rel_humidity,wspd,pres,weather_condition
1/1/2022 0:00,28,97,554672,96509,125,651181,SATURDAY,1,1,6.7,89,7.6,1014.9,Cloudy
1/1/2022 1:00,31,61,46276,58472,92,104748,SATURDAY,1,1,6.7,89,7.6,1014.7,Cloudy
1/1/2022 2:00,32,41,377839,45191,73,423030,SATURDAY,1,1,6.7,89,7.6,1014.7,Cloudy
1/1/2022 3:00,54,41,2537734,37167,95,2574901,SATURDAY,1,1,6.7,96,5.4,1014.2,Cloudy
1/1/2022 4:00,49,42,911448,43178,91,954626,SATURDAY,1,1,7.2,93,5.4,1014.4,Cloudy
1/1/2022 5:00,62,62,3414185,56165,124,3470350,SATURDAY,1,1,7.8,93,0,1014.5,Cloudy
1/1/2022 6:00,121,53,2007480,56015,174,2063495,SATURDAY,1,1,7.2,97,5.4,1014.1,Cloudy
1/1/2022 7:00,68,41,465738,41134,109,506872,SATURDAY,1,1,7.2,97,7.6,1014.2,Cloudy
1/1/2022 8:00,29,14,497094,10648,43,507742,SATURDAY,1,1,7.2,97,0,1014.1,Cloudy
1/1/2022 9:00,9,4,10798,3163,13,13961,SATURDAY,1,1,6.7,100,7.6,1013.6,Cloudy
1/1/2022 10:00,9,7,54816,4826,16,59642,SATURDAY,1,1,6.7,100,9.4,1013.1,Cloudy
1/1/2022 11:00,8,23,299642,18872,31,318514,SATURDAY,1,1,7.2,100,9.4,1012.5,Cloudy
1/1/2022 12:00,6,26,17664,22487,32,40151,SATURDAY,1,1,6.7,100,5.4,1012.1,Cloudy
1/1/2022 13:00,5,35,17083,33407,40,50490,SATURDAY,1,1,7.8,100,7.6,1012.3,Cloudy
1/1/2022 14:00,12,39,26548,29423,51,55971,SATURDAY,1,1,7.8,100,11.2,1011.3,Cloudy
1/1/2022 15:00,23,58,63973,37372,81,101345,SATURDAY,1,1,7.8,100,7.6,1011.5,Cloudy
1/1/2022 16:00,16,64,31265,62492,80,93757,SATURDAY,1,1,7.8,100,7.6,1010.2,Rain
1/1/2022 17:00,29,50,42844,32514,79,75358,SATURDAY,1,1,7.8,100,5.4,1008.7,Rain
1/1/2022 18:00,22,72,29266,71432,94,100698,SATURDAY,1,1,8.3,97,5.4,1008,Cloudy
1/1/2022 19:00,38,84,70711,76327,122,147038,SATURDAY,1,1,8.9,100,0,1006,Cloudy
1/1/2022 20:00,55,107,131032,115862,162,246894,SATURDAY,1,1,9.4,100,0,1006.4,Cloudy
1/1/2022 21:00,45,101,255198,90554,146,345752,SATURDAY,1,1,10.6,96,0,1005.9,Cloudy
